PCE,POP,PSAVERT,UEMPMED,UNEMPLOY
4020.5,237316,9.7,5.7,7718
4084.7,237468,9.4,6,8071
4099.5,237602,9.8,6.3,8051
4117,237732,9.7,5.2,7982
4131.5,237900,9.9,6.1,7869
4158.4,238074,9.9,6.1,8174
4177.1,238270,10.1,6,8098
4204.8,238466,9.6,5.8,7863
4220.9,238679,9.7,6.1,8036
4255.3,238898,8.7,6.6,8230
4284.7,239113,8,5.9,8646
4300.5,239307,8,6.3,9029
4336.4,239477,10.6,6,9267
4340.7,239638,8.6,6.8,9397
4355.3,239788,8.9,6.9,9705
4352.5,239928,8.9,7.2,9895
4393.4,240094,8.7,7.3,10244
4422.4,240271,8.3,7.7,10335
4440,240459,7.8,8.2,10538
4468.9,240651,7.6,8.4,10849
4481.1,240854,7.7,8.3,10881
4511.5,241068,6.9,8.4,11217
4532.8,241274,6.3,8.9,11529
4554.1,241467,6.3,9.5,11938
4571.1,241620,9.1,11,12051
4585.1,241784,7.1,8.9,11534
4632.6,241930,6.5,9,11545
4646,242079,6.8,9.5,11408
4671.1,242252,6.4,9.6,11268
4669.5,242423,7.6,9.3,11154
4708.9,242608,6.9,9.6,11246
4720.6,242804,7,9.6,10548
4762.6,243012,6.5,9.5,10623
4775,243223,6.8,9.7,10282
4812.9,243446,7.1,10.2,9887
4825.6,243639,7,9.9,9499
4841.6,243809,7.2,11.5,9331
4851.2,243981,7.5,10.3,9008
4850.8,244131,7.8,10.1,8791
4885.4,244279,7.5,10.2,8746
4890.2,244445,6.9,10.4,8762
4933.1,244610,7.1,10.3,8456
4977.5,244806,6.7,10.4,8226
4970.2,245021,7.1,10.6,8537
5005.3,245240,6.7,10.2,8519
5020.5,245464,6.8,10.2,8367
5013.9,245693,7.1,9.5,8381
5055.6,245884,6.6,9.9,8198
5097.5,246056,6.1,11,8358
5085.7,246224,6.7,8.9,8423
5132.8,246378,6.7,9.2,8321
5173.3,246530,6.6,9.6,8339
5208,246721,5.7,9.5,8395
5223.8,246906,6.7,9.7,8302
5229.8,247114,7.1,9.5,8460
5251.9,247342,6.7,9.4,8513
5275,247573,6.6,9.2,8196
5296.6,247816,6.7,9.3,8248
5328.5,248067,6.4,9,8298
5351.2,248281,6.4,9.1,8128
5378.6,248479,6.4,9,8138
5411.1,248659,6.2,8.8,7795
5434,248827,6.2,9.2,8402
5454.2,249012,6.4,8.4,8383
5459.3,249306,6.5,8.6,8364
5460.2,249565,6.8,8.5,8439
5494.2,249849,6.6,8.7,8508
5548.8,250132,6.1,8.6,8319
5587,250439,6,9.1,8135
5601.7,250751,6.2,8.7,8310
5637.7,251057,6.2,8.4,8243
5661.1,251346,6.4,8.5,8159
5692.1,251626,6.4,7.3,7883
5689.9,251889,7.4,8,7892
5723.8,252135,7.4,8.4,7865
5750.3,252372,7.5,8,7862
5788.1,252643,7.2,7.9,7542
5837.9,252913,6.9,8.3,7574
5871.7,253207,6.8,7.5,7398
5890,253493,6.9,8.3,7268
5925,253807,6.8,8.5,7261
5965.6,254126,6.4,9.1,7102
5998.8,254435,6.2,8.6,7227
6015.4,254718,6.3,8.2,7035
6070.5,254964,5.8,7.7,6936
6072.9,255214,6.3,8.7,6953
6101.8,255448,6.2,8.8,6929
6132.9,255703,5.9,8.7,6876
6196.2,255992,5.1,8.4,6601
6225.7,256285,4.9,8.6,6779
6254,256589,4.8,8.4,6546
6281.5,256894,4.8,9,6605
6326.5,257232,4.7,8.7,6843
6378.8,257548,4.2,8.7,6604
6402.1,257861,4.5,9.4,6568
6437.9,258147,4.8,7.9,6537
6538.7,258413,4.3,9,6518
6535.3,258679,5.4,9.7,6682
6619.7,258919,4.8,9.7,6359
6685.8,259152,4.5,10.2,6205
6671.1,259414,5,10.4,6468
6707.6,259680,4.9,9.8,6375
6743.9,259963,4.9,10.5,6577
6764.1,260255,5.2,10.7,6495
6799.1,260566,5.2,11.7,6511
6882.9,260867,4.5,12.3,6590
6888.2,261163,4.6,13.1,6630
6902.4,261425,4.5,14.2,6725
6945.7,261674,4.2,17.2,6667
6977,261919,4.8,16,6752
6995.8,262123,4.9,16.3,6651
6987.9,262352,5.3,17.8,6598
7001.2,262631,5,18.9,6797
7047.1,262877,4.4,19.8,6742
7060.7,263152,4.4,20.1,6590
7072.2,263436,5.6,20,6922
7108.9,263724,6.8,19.9,7188
7012.8,264017,7,20.4,7368
7208.4,264301,3.4,22.1,7459
7167.9,264559,4.1,22.3,7764
7147.7,264804,4.5,25.2,7901
7174.3,265044,6.1,22.3,8015
7218.3,265270,5.8,21,8265
7237.2,265495,5.9,20.3,8586
7305.4,265755,5.8,21.2,8439
7282.7,265998,6.5,21,8736
7318.2,266270,6.4,21.9,8692
7380.4,266557,5.5,21.5,8586
7401.5,266843,5.4,21.1,8666
7391,267152,5.7,21.5,8722
7430.7,267456,5.7,20.9,8842
7459.7,267715,5.7,21.6,8931
7512.8,267943,5.5,22.4,9198
7533.1,268151,5.5,22,9283
7535.9,268364,5.6,22.4,9454
7598.4,268595,5.3,22,9460
7621,268853,5.3,20.6,9415
7628.1,269108,5.8,20.8,9744
7678.6,269386,5.5,20.5,10040
7738.2,269667,6.2,20.8,9850
7834.5,269976,6,19.7,9787
7835,270284,5.1,19.2,9781
7845.7,270581,5.3,19.1,9398
7899.6,270878,5.4,19.9,9565
7929.2,271125,5.4,20.4,9557
7987.4,271360,5,17.5,9325
8019.8,271585,5,18.4,9183
8076,271821,4.9,18.8,9056
8088.6,272083,5.3,19.9,9110
8163.2,272342,5.2,18.6,9149
8147.2,272622,5.8,17.7,9121
8218.9,272912,5.2,15.8,8930
8253.1,273237,5.1,17.2,8763
8321.1,273553,4.6,17.6,8714
8374.6,273852,4.5,17.1,8750
8420.6,274126,4,17.1,8542
8481.5,274372,6.8,17,8477
8470.2,274626,3.6,16.2,8630
8529.2,274838,3.2,16.5,8583
8569.5,275047,3.4,16.5,8470
8645.6,275304,3,16.3,8331
8643.9,275564,3.5,17.1,7915
8724.8,275836,2.8,17.3,7927
8829.5,276115,2.2,15.4,7946
8832.4,276418,2.6,15.9,7933
8885.8,276714,2.6,15.8,7734
8926.6,277003,3,15.7,7632
8938.5,277277,3.5,14.6,7375
8969.6,277526,3.6,13.8,7230
9059.8,277790,4.2,13.1,7375
9090.1,277992,4.2,12.9,7187
9122.1,278198,4.2,13.4,7153
9174.8,278451,3.9,13.6,7645
9215.1,278717,3.7,13,7430
9240.8,279001,3.9,12.9,7427
9322.6,279295,3.3,13.2,7527
9321.8,279602,3.6,12.9,7484
9354.7,279903,3.5,12,7478
9373.2,280203,3.5,11.5,7328
